"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"purspi","Spindalis portoricensis","Puerto Rican Spindalis",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"wrenth1","Zeledonia coronata","Wrenthrush",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yebcha","Icteria virens","Yellow-breasted Chat",FALSE,"3","TRUE",2021-05-31,2021-07-27,"3","TRUE",2021-11-09,2021-03-15,"3","TRUE",2021-08-10,2021-11-02,"3","TRUE",2021-03-22,2021-05-24,NA,NA,NA
"yehbla","Xanthocephalus xanthocephalus","Yellow-headed Blackbird",FALSE,"3","TRUE",2021-06-07,2021-06-21,"3","TRUE",2021-12-21,2021-02-15,"3","TRUE",2021-06-28,2021-12-14,"3","TRUE",2021-02-22,2021-05-31,NA,NA,NA
"boboli","Dolichonyx oryzivorus","Bobolink",FALSE,"3","TRUE",2021-06-07,2021-07-13,"2","TRUE",2021-12-28,2021-03-22,"2","TRUE",2021-07-20,2021-12-21,"2","TRUE",2021-03-29,2021-05-31,NA,NA,NA
"wesmea","Sturnella neglecta","Western Meadowlark",FALSE,"2","TRUE",2021-05-10,2021-08-24,"3","TRUE",2021-12-07,2021-02-08,"3","TRUE",2021-08-31,2021-11-30,"3","TRUE",2021-02-15,2021-05-03,NA,NA,NA
"easmea","Sturnella magna","Eastern Meadowlark",FALSE,"3","TRUE",2021-05-03,2021-07-20,"3","TRUE",2021-11-23,2021-02-08,"3","TRUE",2021-07-27,2021-11-16,"3","TRUE",2021-02-15,2021-04-26,NA,NA,NA
"rebbla1","Leistes militaris","Red-breasted Meadowlark",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"whbbla2","Leistes superciliaris","White-browed Meadowlark",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yebcac1","Amblycercus holosericeus","Yellow-billed Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yewcac1","Cassiculus melanicterus","Yellow-winged Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"creoro1","Psarocolius decumanus","Crested Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"chhoro1","Psarocolius wagleri","Chestnut-headed Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-10-26,2021-05-24
"monoro1","Psarocolius montezuma","Montezuma Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"sobcac1","Cacicus solitarius","Solitary Black Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"scrcac1","Cacicus uropygialis","Scarlet-rumped Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yercac1","Cacicus cela","Yellow-rumped Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"rercac1","Cacicus haemorrhous","Red-rumped Cacique",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"graori4","Icterus portoricensis","Puerto Rican Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"bkvori","Icterus wagleri","Black-vented Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"bawori1","Icterus maculialatus","Bar-winged Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"bkcori","Icterus prosthemelas","Black-cowled Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"orcori","Icterus spurius","Orchard Oriole",FALSE,"3","TRUE",2021-05-31,2021-06-28,"3","TRUE",2021-11-02,2021-03-15,"3","TRUE",2021-07-06,2021-10-26,"3","TRUE",2021-03-22,2021-05-24,NA,NA,NA
"hooori","Icterus cucullatus","Hooded Oriole",FALSE,"3","TRUE",2021-05-10,2021-08-03,"3","TRUE",2021-10-26,2021-02-15,"3","TRUE",2021-08-10,2021-10-19,"3","TRUE",2021-02-22,2021-05-03,NA,NA,NA
"yebori1","Icterus chrysater","Yellow-backed Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yetori1","Icterus mesomelas","Yellow-tailed Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"epaori4","Icterus pyrrhopterus","Variable Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"ventro1","Icterus icterus","Venezuelan Troupial",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"stbori","Icterus pustulatus","Streak-backed Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"bulori","Icterus bullockii","Bullock's Oriole",FALSE,"3","TRUE",2021-06-07,2021-06-28,"3","TRUE",2021-11-02,2021-03-01,"3","TRUE",2021-07-06,2021-10-26,"3","TRUE",2021-03-08,2021-05-31,NA,NA,NA
"oraori1","Icterus auratus","Orange Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"yelori1","Icterus nigrogularis","Yellow Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"spbori","Icterus pectoralis","Spot-breasted Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"altori","Icterus gularis","Altamira Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"audori","Icterus graduacauda","Audubon's Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"balori","Icterus galbula","Baltimore Oriole",FALSE,"3","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-12-07,2021-03-29,"3","TRUE",2021-08-03,2021-11-30,"3","TRUE",2021-04-05,2021-05-31,NA,NA,NA
"blbori1","Icterus abeillei","Black-backed Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"scoori","Icterus parisorum","Scott's Oriole",FALSE,"3","TRUE",2021-05-24,2021-06-28,"3","TRUE",2021-11-23,2021-02-08,"3","TRUE",2021-07-20,2021-11-16,"3","TRUE",2021-02-15,2021-05-17,NA,NA,NA
